Number of panels;Panel area m2;Category;Air temperature;Clear sky DHI;Clear sky DNI;Clear sky GHI;Clear sky GTI;DHI;DNI;GHI;GTI;Cloud opacity;Season;Snow soiling ground;Snow soiling rooftop
20;34.0;családi ház;30.0;100;933.7027697993682;929.7892476454941;971.9443885234323;100;883.7027697993682;879.7892476454941;921.9443885234323;0;Summer;0;0
20;34.0;családi ház;30.0;100;917.9334303332762;903.9910934658855;965.7876143896013;100;867.9334303332762;853.9910934658855;915.7876143896013;0;Summer;0;0
20;34.0;családi ház;30.0;100;879.1065916164106;887.6443473265317;914.2403937213362;100;829.1065916164106;837.6443473265317;864.2403937213362;0;Summer;0;0
20;34.0;családi ház;20.0;100;215.39405862448962;205.69000455281255;179.92634007282965;100;165.39405862448962;155.69000455281255;129.92634007282965;0;Summer;0;0
20;34.0;családi ház;20.0;100;238.4653502905338;362.7272094383694;366.48723672822257;100;188.4653502905338;312.7272094383694;316.48723672822257;0;Summer;0;0
20;34.0;családi ház;20.0;100;264.7047232867208;421.124030062998;325.22589255367564;100;214.70472328672082;371.124030062998;275.22589255367564;0;Summer;0;0
20;34.0;családi ház;20.0;100;151.61180815209687;309.6089541433085;364.6288301951475;100;101.61180815209687;259.6089541433085;314.6288301951475;0;Summer;0;0
20;34.0;családi ház;20.0;100;127.70061972590595;169.83773786298454;437.454948833118;100;77.70061972590595;119.83773786298454;387.454948833118;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;20.0;100;165.6608878218227;441.1189790820391;325.0845682821482;100;115.6608878218227;391.1189790820391;275.0845682821482;0;Summer;0;0
20;34.0;családi ház;20.0;100;302.01462280510935;273.88431122748614;261.5919660717317;100;252.01462280510935;223.88431122748614;211.59196607173172;0;Summer;0;0
20;34.0;családi ház;20.0;100;215.82712002831255;431.1251787313227;276.1872761197885;100;165.82712002831255;381.1251787313227;226.18727611978852;0;Summer;0;0
20;34.0;családi ház;20.0;100;118.32026653421707;408.3194564268807;231.1415548630821;100;68.32026653421707;358.3194564268807;181.1415548630821;0;Summer;0;0
20;34.0;családi ház;30.0;100;818.7850738739319;871.150646335638;948.8350131545027;100;768.7850738739319;821.150646335638;898.8350131545027;0;Summer;0;0
20;34.0;családi ház;30.0;100;815.4236106999468;944.5117739211529;944.485884207776;100;765.4236106999468;894.5117739211529;894.485884207776;0;Summer;0;0
20;34.0;családi ház;30.0;100;926.156365149736;914.5224251683178;954.0735727990473;100;876.156365149736;864.5224251683178;904.0735727990473;0;Summer;0;0
20;34.0;családi ház;30.0;100;930.1356723714484;922.5830799335384;967.89689405322;100;880.1356723714484;872.5830799335384;917.89689405322;0;Summer;0;0
20;34.0;családi ház;30.0;100;923.2219495752684;942.7495402411732;862.692524093752;100;873.2219495752684;892.7495402411732;812.692524093752;0;Summer;0;0
20;34.0;családi ház;30.0;100;874.7802229095662;883.0314905906716;856.1972370161614;100;824.7802229095662;833.0314905906716;806.1972370161614;0;Summer;0;0
20;34.0;családi ház;20.0;100;264.89240006230943;217.75069942160349;334.0871978540783;100;214.89240006230946;167.75069942160349;284.0871978540783;0;Summer;0;0
20;34.0;családi ház;20.0;100;249.67215182217117;203.51081762588524;351.162955435406;100;199.67215182217117;153.51081762588524;301.162955435406;0;Summer;0;0
20;34.0;családi ház;20.0;100;218.2714019779428;381.28050541986727;172.95836939321808;100;168.2714019779428;331.28050541986727;122.95836939321808;0;Summer;0;0
20;34.0;családi ház;20.0;100;236.92435331710996;425.60333481603914;295.5353699607646;100;186.92435331710996;375.60333481603914;245.53536996076463;0;Summer;0;0
20;34.0;családi ház;20.0;100;316.26229050025074;288.5953539069222;163.64752052326213;100;266.26229050025074;238.59535390692218;113.64752052326213;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;20.0;100;294.1617440424309;442.0709621985857;205.7011741642569;100;244.16174404243085;392.0709621985857;155.7011741642569;0;Summer;0;0
20;34.0;családi ház;20.0;100;332.86001452447476;392.56599418023495;372.56004804884844;100;282.86001452447476;342.56599418023495;322.56004804884844;0;Summer;0;0
20;34.0;családi ház;20.0;100;102.36898420955725;412.37988693422784;243.70911718217843;100;52.368984209557254;362.37988693422784;193.70911718217843;0;Summer;0;0
20;34.0;családi ház;20.0;100;103.58073849094431;160.6433715506585;320.14565566130136;100;53.58073849094431;110.64337155065849;270.14565566130136;0;Summer;0;0
20;34.0;családi ház;30.0;100;919.8868393456306;946.1983022823273;894.3487871300567;100;869.8868393456306;896.1983022823273;844.3487871300567;0;Summer;0;0
20;34.0;családi ház;30.0;100;894.0410218461188;945.4423503420176;991.1218378724267;100;844.0410218461188;895.4423503420176;941.1218378724267;0;Summer;0;0
20;34.0;családi ház;30.0;100;828.980526405736;931.1887540758798;958.9552091477947;100;778.980526405736;881.1887540758798;908.9552091477947;0;Summer;0;0
20;34.0;családi ház;30.0;100;893.793547860945;938.8493841890769;871.2118906591749;100;843.793547860945;888.8493841890769;821.2118906591749;0;Summer;0;0
20;34.0;családi ház;30.0;100;864.9598917176359;894.9248494347481;875.872544484947;100;814.9598917176359;844.9248494347481;825.872544484947;0;Summer;0;0
20;34.0;családi ház;30.0;100;926.3492966497938;862.0025876585423;980.1016145628415;100;876.3492966497938;812.0025876585423;930.1016145628415;0;Summer;0;0
20;34.0;családi ház;20.0;100;320.943163998775;221.7294483584683;366.8828784330791;100;270.943163998775;171.7294483584683;316.8828784330791;0;Summer;0;0
20;34.0;családi ház;20.0;100;196.7691021602966;413.02600098022884;263.0926919870476;100;146.7691021602966;363.02600098022884;213.0926919870476;0;Summer;0;0
20;34.0;családi ház;20.0;100;333.5546812630854;336.198279216271;172.39793163803793;100;283.5546812630854;286.198279216271;122.39793163803793;0;Summer;0;0
20;34.0;családi ház;20.0;100;169.43866919568768;445.46990159633816;327.3989989835856;100;119.4386691956877;395.46990159633816;277.3989989835856;0;Summer;0;0
20;34.0;családi ház;20.0;100;199.83505372640263;339.8454634839047;354.55218985500835;100;149.83505372640263;289.8454634839047;304.55218985500835;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
